iterations,fitness,time
0,2681.17695366,0.000203068000001
10,2730.40225938,0.000403248000001
20,2847.44802049,0.000605353000001
30,2906.08363784,0.000816761000003
40,2805.42797768,0.001018866
50,2842.49208784,0.001220651
60,2890.00501663,0.00142307700001
70,2893.02122228,0.001625824
80,2882.40986064,0.00182792900001
90,2832.44093512,0.00203324200001
100,2895.80600985,0.00223727300001
110,2922.56792451,0.00244066200001
120,2954.43131617,0.00264148400001
130,2908.35227904,0.00284166500001
140,2896.21897345,0.00304409200001
150,3105.47061974,0.00324876400001
160,2905.93044381,0.00345311500001
170,2943.2394829,0.00365425800001
180,2925.05755567,0.00385636300001
190,2985.13048274,0.00427212200001
200,3011.71249346,0.00462885400001
210,2976.51152878,0.00483288400002
220,2974.57455588,0.00503563100002
230,3074.50859658,0.00523260300002
240,3074.85349551,0.00542925500002
250,3019.07634842,0.00562558600001
260,3019.07634842,0.00582095500002
270,3103.33814878,0.00604519600002
280,3060.91903044,0.00628547700002
290,3201.00658223,0.00653217400001
300,3060.22534567,0.00676026400001
310,3148.39570746,0.00698675100001
320,3053.17844085,0.00723120200001
330,3098.3380133,0.00744710200001
340,3117.84075089,0.00767294700002
350,3067.62567025,0.00789943400002
360,3096.29282439,0.00812559900002
370,3067.56782376,0.00832866700002
380,3081.7788758,0.00853013100002
390,3023.35392123,0.00873384000002
400,3057.8602913,0.00893626600001
410,3046.27414051,0.00914061700001
420,3000.99309678,0.00934176000001
430,3056.95001974,0.00954322400001
440,3087.60993825,0.00974500800001
450,3068.28176388,0.00994647200001
460,3068.28176388,0.010149219
470,3047.86530281,0.010350682
480,3105.29329192,0.010555033
490,3165.24780087,0.010755855
500,3191.33112333,0.010957319
510,3195.79999303,0.011158141
520,3154.92706114,0.011360888
530,3158.59866461,0.011562993
540,3205.0576351,0.011766702
550,3173.50793332,0.011967845
560,3168.71600631,0.012168026
570,3088.26663543,0.012398041
580,3209.7859981,0.012676497
590,3075.09040501,0.012922874
600,3028.87183642,0.013165721
610,3015.19451144,0.013408889
620,3161.8652011,0.013648208
630,3194.97337825,0.013888168
640,3081.76940867,0.014156037
650,3128.74081603,0.014412999
660,3114.82993771,0.014638844
670,3035.34526808,0.014883937
680,3100.93690898,0.015109461
690,2993.76364741,0.015324719
700,2994.34333135,0.015540619
710,3111.65424092,0.015742083
720,3003.34606969,0.015946113
730,3038.30007701,0.016147577
740,3092.82297169,0.016351928
750,3036.66421399,0.016555317
760,3047.2736716,0.016755818
770,2992.1461354,0.016958565
780,3090.26663319,0.017159388
790,3061.6649682,0.017361173
800,2999.79306092,0.017562316
810,2941.23483922,0.017766346
820,3106.39336965,0.017968131
830,2939.68821654,0.018168954
840,2991.75948305,0.018369135
850,2995.68600102,0.018570919
860,3027.5015925,0.018772062
870,2981.71982386,0.018975771
880,2998.70456872,0.01917948
890,3058.11597717,0.019381585
900,3158.4184182,0.019583369
910,3141.85439449,0.019852522
920,3136.26891806,0.020061685
930,3082.4711512,0.020258337
940,3158.92864628,0.020457556
950,2984.46459482,0.020653887
960,3107.85350585,0.020850538
970,3174.61272009,0.021046227
980,3145.77695711,0.021241274
990,3087.92730254,0.021501124
1000,3119.72389917,0.021720874
1010,3095.32814626,0.021915601
1020,3082.68795656,0.022178017
1030,3159.14859811,0.022375952
1040,3259.38584601,0.022572925
1050,3227.87483245,0.022768615
1060,3235.18760367,0.022965267
1070,3234.45479093,0.023163844
1080,3156.00523827,0.023360816
1090,3214.19020173,0.023556826
1100,3211.17927595,0.023753478
1110,3174.75838577,0.023949809
1120,3281.41763067,0.024145819
1130,3249.04096294,0.024346641
1140,3205.16980344,0.024542972
1150,3236.32308857,0.024739624
1160,3188.9222634,0.024936597
1170,3199.14529344,0.025132608
1180,3164.904727,0.025329901
1190,3158.13725794,0.025528157
1200,3154.69715459,0.025742453
1210,3050.26940647,0.026036949
1220,3132.86926322,0.026286212
1230,3095.90596476,0.026527134
1240,3177.97446161,0.026742071
1250,3189.38988077,0.026969199
1260,3179.53109759,0.027212688
1270,3185.58580238,0.027409661
1280,3179.50798949,0.02760503
1290,3173.54986536,0.02780104
1300,3150.3226845,0.027997692
1310,3190.59985755,0.028242464
1320,3271.73105548,0.028491407
1330,3251.39830493,0.028689984
1340,3267.7704903,0.028944059
1350,3231.36162575,0.029141352
1360,3237.00142986,0.029338966
1370,3181.27271691,0.029534335
1380,3260.02227931,0.029730666
1390,3240.95324128,0.029927318
1400,3287.20162531,0.03012397
1410,3292.58405,0.030320622
1420,3207.98553762,0.030517916
1430,3248.60012321,0.030713284
1440,3225.30669178,0.030908652
1450,3183.8831863,0.031104662
1460,3240.08899245,0.031302597
1470,3187.48657671,0.031516893
1480,3113.7212858,0.031720924
1490,3140.88215882,0.031918538
1500,3205.77756672,0.032113586
1510,3177.69130719,0.032310237
1520,3093.96836412,0.032548272
1530,3174.54986415,0.032776683
1540,3224.34750591,0.033002848
1550,3049.51501941,0.033230618
1560,3041.94668421,0.033456462
1570,3057.89057056,0.033652793
1580,3032.78577767,0.033848483
1590,3122.21300067,0.034045456
1600,3151.73142067,0.034243391
1610,3223.4421967,0.034441005
1620,3202.61779976,0.034636053
1630,3052.57999724,0.034832063
1640,3110.01398619,0.035136184
1650,3169.04614966,0.035369728
1660,3214.5244649,0.035592044
1670,3128.80932652,0.035832004
1680,3144.71825215,0.036057849
1690,3140.99989054,0.03629396
1700,3173.72434763,0.036519484
1710,3202.99770674,0.036739554
1720,3170.23208705,0.036941018
1730,3256.08076088,0.03713767
1740,3253.65760427,0.037335284
1750,3233.48081761,0.03752969
1760,3367.37133609,0.0377257
1770,3222.69866928,0.037927484
1780,3272.79035503,0.038171935
1790,3214.21268747,0.038383986
1800,3226.87901459,0.038586733
1810,3165.78739612,0.038789159
1820,3243.52736787,0.038991585
1830,3117.05662533,0.039196256
1840,3235.94230784,0.039419214
1850,3249.08052507,0.039670723
1860,3205.91472547,0.039873149
1870,3274.53893415,0.0400775
1880,3251.3510167,0.040280568
1890,3267.44241441,0.040482994
1900,3191.12149226,0.040686062
1910,3228.02240162,0.040889451
1920,3240.75344719,0.041089952
1930,3250.90465078,0.041332158
1940,3292.80571001,0.041583988
1950,3229.84056728,0.041851858
1960,3237.23599974,0.042057492
1970,3295.67957378,0.042297452
1980,3192.45011114,0.042505011
1990,3292.08348774,0.042706796
2000,3239.76635003,0.042971458
2010,3237.30414311,0.043174205
2020,3246.3807727,0.043376311
2030,3263.32947913,0.043579058
2040,3176.5073924,0.043782126
2050,3181.087511,0.04398391
2060,3161.63739654,0.044185053
2070,3189.16511314,0.044385876
2080,3219.23359781,0.044624232
2090,3226.13242677,0.044860342
2100,3279.96061587,0.045076883
2110,3350.29149783,0.045285405
2120,3278.64498409,0.045487831
2130,3237.09418112,0.04569122
2140,3288.82244459,0.045893967
2150,3295.45774975,0.04609511
2160,3331.49758237,0.046295933
2170,3334.80693446,0.046500926
2180,3298.85169346,0.046716826
2190,3225.12443996,0.046924065
2200,3196.88260567,0.047175253
2210,3275.55119521,0.047411043
2220,3275.55119521,0.047643946
2230,3231.25680137,0.047846052
2240,3135.89242531,0.048051045
2250,3122.10712824,0.048251867
2260,3216.85421058,0.04845333
2270,3166.12861346,0.048655756
2280,3109.88607743,0.048878393
2290,3124.59708107,0.049107767
2300,3157.38789948,0.049357993
2310,3071.87531137,0.049561061
2320,2976.75963957,0.04981257
2330,3049.25713621,0.050031036
2340,3094.27534406,0.050251748
2350,3080.70344017,0.050455457
2360,3032.79307514,0.050657241
2370,3142.42183772,0.050909713
2380,3179.66933411,0.051125293
2390,3166.7760706,0.051341834
2400,3156.88688224,0.051583399
2410,3215.86310874,0.051811168
2420,3219.17917072,0.052030917
2430,3159.03421116,0.0522558
2440,3254.09283257,0.052478116
2450,3258.35938378,0.052685675
2460,3264.8343642,0.052898367
2470,3178.57083788,0.05309566
2480,3238.95011478,0.053337224
2490,3323.01879218,0.053573976
2500,3236.23813843,0.05377544
2510,3159.92629097,0.053973375
2520,3226.26467736,0.054187029
2530,3233.90944897,0.054400683
2540,3200.96949962,0.054607921
2550,3241.48116519,0.054840182
2560,3230.44441443,0.055043892
2570,3209.25798712,0.05525113
2580,3230.50683909,0.055452594
2590,3202.4552777,0.055692554
2600,3110.80161576,0.055955291
2610,3178.35493937,0.056412113
2620,3093.5361338,0.056658489
2630,3112.82663126,0.060387495
2640,3217.23901379,0.060635796
2650,3127.02198794,0.06089757
2660,3179.08851071,0.061094543
2670,3182.47224524,0.061372358
2680,3161.88814923,0.061639266
2690,3147.00600458,0.061915156
2700,3104.99849675,0.062129131
2710,3227.12452932,0.06238898
2720,3122.13897798,0.062595576
2730,3311.37136222,0.062839386
2740,3089.74291082,0.063057532
2750,3093.39652184,0.063311928
2760,3066.25009594,0.06351275
2770,3045.6499566,0.063765542
2780,3017.41352655,0.064029563
2790,3011.70578519,0.064281072
2800,2978.43425944,0.064569152
2810,3132.76567327,0.064838305
2820,3151.28900672,0.065106817
2830,3148.57670457,0.065324962
2840,3146.43074228,0.065532521
2850,3201.21264572,0.065739118
2860,3136.88081642,0.066339339
2870,3142.98090303,0.06660368
2880,3117.69540638,0.066847811
2890,3066.66402576,0.06710317
2900,3166.64945691,0.067355641
2910,3139.02411827,0.067620945
2920,3179.63007692,0.067870529
2930,3224.65302102,0.068129737
2940,3212.93110527,0.068363601
2950,3216.12610237,0.068566989
2960,3283.64658108,0.068808874
2970,3355.51852619,0.069013546
2980,3296.1187016,0.069238107
2990,3207.10355941,0.069488333
3000,3248.24757107,0.069751391
3010,3226.94125637,0.069986539
3020,3282.12363285,0.070223291
3030,3172.26351503,0.070460685
3040,3165.81728958,0.070664394
3050,3175.1053061,0.070887672
3060,3069.84964245,0.071140785
3070,3176.11254487,0.071403201
3080,3176.11254487,0.071634499
3090,3123.9888436,0.071872535
3100,3097.11893792,0.072141368
3110,3092.3018142,0.072415013
3120,3068.9816827,0.072654973
3130,3111.94607452,0.073133931
3140,3085.72733506,0.073415275
3150,3089.53143756,0.073670312
3160,3070.90028948,0.073905139
3170,3137.53164336,0.074155686
3180,3013.77260387,0.074466543
3190,3118.09572659,0.074719977
3200,3123.76613244,0.074945501
3210,3091.61892236,0.075156589
3220,3114.50708207,0.075434083
3230,3085.88614835,0.07567276
3240,3194.33067914,0.075905342
3250,3094.18766396,0.076111297
3260,3288.46338403,0.076320139
3270,3119.02183903,0.076523849
3280,3168.88411495,0.076751297
3290,3141.93416895,0.076957573
3300,3115.50894864,0.077228009
3310,3141.64075269,0.077435568
3320,3073.70922296,0.077693493
3330,3101.26771656,0.077915488
3340,3134.0362646,0.078169884
3350,3218.9568155,0.078414336
3360,3160.05513695,0.078716211
3370,3113.60781039,0.079112722
3380,3228.8187926,0.079345945
3390,3206.24718272,0.079605474
3400,3197.85362175,0.07981207
3410,3097.28597502,0.080075448
3420,3158.91790867,0.080310275
3430,3113.16831994,0.080514305
3440,3193.93520317,0.080756831
3450,3199.41736163,0.080991017
3460,3221.8805219,0.081235789
3470,3218.60800066,0.081469013
3480,3267.89032494,0.081680743
3490,3199.8312912,0.081886377
3500,3240.5974588,0.082097465
3510,3284.16142357,0.082301175
3520,3274.14146195,0.082511942
3530,3294.84562877,0.082732333
3540,3157.71235932,0.083004695
3550,3083.55951575,0.083251392
3560,3270.56168879,0.083495843
3570,3256.78244199,0.083701157
3580,3193.47982775,0.083958441
3590,3191.56120222,0.084163434
3600,3268.13617131,0.084368747
3610,3200.20194495,0.08457823
3620,3204.75160784,0.08478226
3630,3233.36422632,0.085001689
3640,3258.74282588,0.085222401
3650,3243.5328418,0.085469419
3660,3229.45479399,0.08568147
3670,3283.1582791,0.085889029
3680,3179.53373429,0.086103645
3690,3085.61190787,0.086307996
3700,3129.34118352,0.086519084
3710,3222.27635684,0.086724077
3720,3099.49662557,0.086987135
3730,3165.47576173,0.087192128
3740,3114.09647207,0.087454545
3750,3046.74733902,0.087657934
3760,3092.82789325,0.087918105
3770,3102.75850242,0.088123419
3780,3104.2392829,0.088326487
3790,3035.8870106,0.088530196
3800,3073.56385771,0.088736793
3810,3084.4700723,0.088944032
3820,2993.44444315,0.0891471
3830,2996.1451081,0.089408554
3840,3052.77342747,0.08961451
3850,2977.28536322,0.089875002
3860,3006.99915585,0.090079353
3870,3034.39486636,0.090311935
3880,3021.97664193,0.090516606
3890,3034.07050964,0.090719674
3900,3034.07050964,0.091083464
3910,3047.21658633,0.091337219
3920,3058.92186243,0.091584558
3930,3156.55299954,0.091806233
3940,3095.07831378,0.092019567
3950,3119.631101,0.09223258
3960,3199.23659322,0.092438214
3970,3071.43769537,0.092647698
3980,3121.32600172,0.09285269
3990,3076.30379135,0.093063136
4000,3137.81957847,0.093273261
4010,3133.61374981,0.093479216
4020,3119.16411527,0.093683246
4030,3110.11753968,0.09388888
4040,3101.91160709,0.094106384
4050,3186.53046529,0.094317151
4060,3038.8172003,0.094536259
4070,3066.35107802,0.094749592
4080,3044.340686,0.094954905
4090,3097.64951693,0.095163426
4100,3081.95404586,0.095367456
4110,3036.64451253,0.095643025
4120,3100.12165509,0.095848017
4130,3144.70347135,0.096111075
4140,3087.52267872,0.096315747
4150,3156.57109378,0.096574955
4160,3112.83138516,0.096790213
4170,3183.89612568,0.097051667
4180,3247.504964,0.097257943
4190,3189.77878777,0.097462615
4200,3178.13429828,0.097668891
4210,3146.82255047,0.09787228
4220,3173.6873003,0.098073744
4230,3092.30585193,0.09827617
4240,3274.88453904,0.098481162
4250,3187.31124467,0.098685833
4260,3155.93877012,0.098932851
4270,3198.58690026,0.099139448
4280,3282.2243968,0.09936818
4290,3167.89937164,0.099569964
4300,3110.77958759,0.099773673
4310,3164.24603439,0.099980269
4320,3166.30757974,0.10018462
4330,3199.66659734,0.100396991
4340,3200.33580551,0.100614816
4350,3246.72201862,0.100819809
4360,3195.10993671,0.101021593
4370,3134.51054615,0.101227869
4380,3163.09527107,0.101433182
4390,3173.70472868,0.101639137
4400,3136.10560554,0.101909894
4410,3212.9676069,0.102128681
4420,3144.30374068,0.102337524
4430,3241.43004375,0.102542838
4440,3195.24306348,0.102745265
4450,3179.7515188,0.102948654
4460,3218.34089327,0.103156855
4470,3260.88707141,0.103367943
4480,3120.62669364,0.103601808
4490,3138.99176549,0.103805518
4500,3097.58930633,0.104009228
4510,3159.81200649,0.104213899
4520,3268.72649816,0.10442242
4530,3189.87784969,0.104624205
4540,3176.34795016,0.104826952
4550,3239.28307878,0.105088727
4560,3168.1336731,0.10529404
4570,3172.46072265,0.105497749
4580,3225.57656372,0.105709157
4590,3158.49399891,0.105917037
4600,3158.49399891,0.106122992
4610,3133.72687238,0.106326701
4620,3072.48832482,0.106577889
4630,3148.57714925,0.106787694
4640,3163.92566844,0.107005839
4650,3164.78368594,0.107215322
4660,3077.69535438,0.107420957
4670,3173.37151354,0.107938411
4680,3217.6257002,0.108154632
4690,3225.4291224,0.10840999
4700,3202.61201923,0.108671444
4710,3211.35071824,0.108886382
4720,3219.27436249,0.109143024
4730,3197.62369437,0.109349621
4740,3184.79162898,0.109612037
4750,3238.71194808,0.109817029
4760,3237.98903149,0.110022021
4770,3237.68846524,0.110224768
4780,3225.24885713,0.110430402
4790,3102.50314482,0.110634112
4800,3260.66115519,0.110836859
4810,3173.25728587,0.111070724
4820,3126.07395093,0.111275395
4830,3132.8661243,0.111507014
4840,3085.77205299,0.111710723
4850,3149.32190097,0.111918603
4860,3166.06482266,0.112133861
4870,3185.57307924,0.112353932
4880,3185.57307924,0.112572398
4890,3056.13479504,0.112790865
4900,3102.50739831,0.112997783
4910,3184.12489909,0.113203738
4920,3208.75749533,0.113407768
4930,3248.88070307,0.113747498
4940,3243.33107415,0.114016651
4950,3138.32986878,0.114311147
4960,3138.32986878,0.114730756
4970,3181.64712156,0.114942485
4980,3095.01520217,0.115229603
4990,3113.77838464,0.115446145
