iterations,fitness,time
0,3156.20420416,0.01487528
10,3316.34462124,0.028844615
20,3396.0312137,0.042447273
30,3437.82064857,0.055634171
40,3494.79361275,0.068211865
50,3488.09708862,0.07976235
60,3486.47541379,0.090984013
70,3534.12398738,0.101789275
80,3499.66066133,0.111930476
90,3508.97598119,0.123787007
100,3496.27944028,0.134250614
110,3525.31092335,0.144982412
120,3526.69307043,0.154888465
130,3517.32834417,0.165578559
140,3555.9196627,0.176380292
150,3509.65718193,0.186897473
160,3507.16718124,0.196848118
170,3532.7925914,0.207463465
180,3501.08904462,0.217565529
190,3509.65718193,0.227791422
200,3509.65718193,0.238019239
210,3509.65718193,0.248861072
220,3498.31144571,0.259334945
230,3508.97598119,0.269138341
240,3488.75294488,0.278598479
250,3515.47873338,0.290055932
260,3507.16718124,0.299947549
270,3508.97598119,0.309743567
280,3517.44915721,0.319486331
290,3508.97598119,0.329463281
300,3516.15993412,0.339141244
310,3508.97598119,0.348937262
320,3492.19196649,0.35891325
330,3535.70496457,0.369436847
340,3496.86748116,0.379319802
350,3495.85999919,0.388649694
360,3509.65718193,0.398729301
370,3509.37551646,0.408115334
380,3508.97598119,0.418335773
390,3495.85999919,0.428005716
400,3509.65718193,0.437313152
410,3551.07348025,0.449278114
420,3508.39422815,0.459806845
430,3498.31144571,0.470274944
440,3509.65718193,0.480049147
450,3508.97598119,0.490225957
460,3507.16718124,0.500345022
470,3523.11565775,0.509955617
480,3508.97598119,0.51950975
490,3516.35290172,0.529473868
500,3509.65718193,0.539917906
510,3512.68605069,0.549821393
520,3493.85233433,0.560346274
530,3498.31144571,0.571093471
540,3509.65718193,0.581111804
550,3498.31144571,0.590906539
560,3508.97598119,0.601672343
570,3509.65718193,0.611877063
580,3509.65718193,0.62281225
590,3495.85999919,0.632671145
600,3505.66553621,0.642745298
610,3514.70146574,0.652222118
620,3519.33600904,0.661776572
630,3485.84057171,0.671382354
640,3507.05948693,0.681342943
650,3512.22895472,0.690775812
660,3509.65718193,0.700542637
670,3508.97598119,0.710516058
680,3515.87806116,0.720481459
690,3507.16718124,0.730642871
700,3505.02586053,0.741135992
710,3488.83977186,0.751197955
720,3520.26663954,0.761411978
730,3488.75294488,0.771949691
740,3500.26397361,0.78371351
750,3496.36374018,0.793436706
760,3513.66993344,0.803743761
770,3507.16718124,0.813597844
780,3501.34243491,0.823114443
790,3522.01254475,0.833107113
800,3496.86748116,0.844027863
810,3507.16718124,0.853463299
820,3507.16718124,0.864022826
830,3508.97598119,0.874557331
840,3493.85233433,0.88440179
850,3525.31092335,0.893879251
860,3508.97598119,0.904149735
870,3517.68686111,0.913923939
880,3509.07794226,0.923628207
890,3494.21085126,0.934076095
900,3509.65718193,0.945393678
910,3530.50678593,0.954845796
920,3508.97598119,0.964690255
930,3517.8373349,0.974230593
940,3517.66894454,0.98418637
950,3509.65718193,0.993478729
960,3495.85999919,1.003378045
970,3489.52850376,1.013219296
980,3514.77367534,1.02233008
990,3517.77663885,1.032407442
1000,3509.65718193,1.04220763
1010,3509.65718193,1.051721663
1020,3515.73320555,1.062222805
1030,3509.65718193,1.072364969
1040,3498.31144571,1.081817728
1050,3500.15383885,1.091686568
1060,3497.63213493,1.102714146
1070,3506.4641605,1.112654525
1080,3508.97598119,1.122951315
1090,3514.88558462,1.133984025
1100,3508.97598119,1.1444425
1110,3496.86748116,1.154482649
1120,3495.85999919,1.164741264
1130,3488.09708862,1.175155468
1140,3508.97598119,1.185694785
1150,3498.31144571,1.196176999
1160,3513.87601976,1.206177689
1170,3529.73190876,1.216596063
1180,3488.09708862,1.227216222
1190,3498.31144571,1.237478366
1200,3508.66657946,1.248008059
1210,3531.54759106,1.258462043
1220,3508.97598119,1.268398894
1230,3498.31144571,1.280048507
1240,3480.16770361,1.290918571
1250,3532.7925914,1.301287863
1260,3508.97598119,1.311797666
1270,3538.52977863,1.322163429
1280,3525.89400004,1.332839728
1290,3509.65718193,1.343443206
1300,3508.97598119,1.353474692
1310,3509.65718193,1.363795221
1320,3508.97598119,1.373862637
1330,3508.97598119,1.384114836
1340,3507.16718124,1.394158834
1350,3508.97598119,1.404767444
1360,3509.65718193,1.414967352
1370,3525.04042909,1.424462778
1380,3514.73427017,1.433933824
1390,3501.95395875,1.445056039
1400,3493.85233433,1.455053521
1410,3508.97598119,1.465079554
1420,3545.2634654,1.475340093
1430,3507.16718124,1.485410397
1440,3498.13538531,1.495416219
1450,3496.86748116,1.504918061
1460,3509.31658156,1.515175713
1470,3497.63213493,1.525101335
1480,3511.59504901,1.535084381
1490,3488.75294488,1.545202163
1500,3527.94366664,1.5548057
1510,3508.97598119,1.564315562
1520,3515.22946456,1.574430458
1530,3509.65718193,1.583797563
1540,3495.25569707,1.593472959
1550,3507.16718124,1.605115836
1560,3498.31144571,1.615081879
1570,3498.31144571,1.624834909
1580,3502.53219168,1.634370435
1590,3507.16718124,1.644731706
1600,3508.97598119,1.654776025
1610,3512.61096306,1.664622409
1620,3530.64319109,1.674618287
1630,3499.86332136,1.685218556
1640,3508.97598119,1.695226945
1650,3507.16718124,1.705338953
1660,3514.08504969,1.71578652
1670,3507.16718124,1.725938629
1680,3532.28574562,1.735564943
1690,3498.31144571,1.745692991
1700,3515.8354933,1.755325079
1710,3532.7925914,1.766256737
1720,3511.34800928,1.776186209
1730,3508.97598119,1.786377456
1740,3509.67428589,1.796182456
1750,3507.16718124,1.806577091
1760,3508.87112732,1.816920398
1770,3508.97598119,1.82703818
1780,3492.37801456,1.836681816
1790,3507.16718124,1.846721002
1800,3507.16718124,1.85660909
1810,3495.85999919,1.865917488
1820,3508.97598119,1.875692012
1830,3526.09687161,1.885646827
1840,3496.86748116,1.895335697
1850,3509.65718193,1.905057289
1860,3546.97286097,1.914929016
1870,3498.31144571,1.924416422
1880,3509.65718193,1.935340381
1890,3495.85999919,1.945239376
1900,3498.31144571,1.954721328
1910,3508.97598119,1.964451902
1920,3507.16718124,1.974836913
1930,3508.97598119,1.985312711
1940,3498.31144571,1.995113862
1950,3508.97598119,2.005191865
1960,3509.65718193,2.015777377
1970,3498.31144571,2.025330227
1980,3488.15660125,2.035043478
1990,3495.85999919,2.044949531
2000,3505.67096373,2.054830882
2010,3509.65718193,2.064166227
2020,3499.38612911,2.074002024
2030,3508.55058451,2.083740939
2040,3526.69307043,2.094656557
2050,3508.97598119,2.104655001
2060,3509.65718193,2.114660503
2070,3508.97598119,2.124374074
2080,3512.09069251,2.133799245
2090,3496.86748116,2.143777158
2100,3496.86748116,2.153461216
2110,3508.97598119,2.162598306
2120,3509.65718193,2.172330484
2130,3514.88558462,2.181726782
2140,3508.97598119,2.191597868
2150,3508.97598119,2.201498146
2160,3496.88232571,2.211277803
2170,3495.85999919,2.220822312
2180,3485.49997134,2.230699172
2190,3515.36045294,2.240508343
2200,3493.85233433,2.252105665
2210,3497.23606886,2.262442234
2220,3497.08572245,2.272461209
2230,3507.16718124,2.282471523
2240,3513.37822351,2.292408052
2250,3508.97598119,2.302117774
2260,3509.65718193,2.311856689
2270,3515.22946456,2.321457338
2280,3495.85999919,2.33171884
2290,3498.18908934,2.342247571
2300,3524.87539858,2.352025303
2310,3508.39422815,2.362249271
2320,3509.9718601,2.372226863
2330,3507.16718124,2.38183874
2340,3511.99607643,2.391354377
2350,3509.65718193,2.401301172
2360,3507.16718124,2.412371096
2370,3509.65718193,2.421621109
2380,3509.65718193,2.431570791
2390,3498.31144571,2.440996603
2400,3508.97598119,2.45038039
2410,3509.65718193,2.460188598
2420,3522.12805593,2.469313497
2430,3485.49997134,2.47863569
2440,3507.68249043,2.488567086
2450,3509.65718193,2.498393901
2460,3515.22946456,2.507925898
2470,3505.67096373,2.517597124
2480,3508.97598119,2.527538145
2490,3508.97598119,2.537222524
2500,3535.70259505,2.546874502
2510,3508.97598119,2.556969829
2520,3510.77035317,2.566818459
2530,3513.37822351,2.578084072
2540,3498.31144571,2.587973764
2550,3485.84057171,2.597251365
2560,3489.64153658,2.606846881
2570,3509.65718193,2.616636482
2580,3495.85999919,2.625739567
2590,3509.67428589,2.635413039
2600,3507.16718124,2.645502911
2610,3507.16718124,2.654876753
2620,3499.86332136,2.665273955
2630,3498.31144571,2.675291647
2640,3526.69307043,2.684491294
2650,3521.84513604,2.694531763
2660,3498.31144571,2.705111822
2670,3483.24287672,2.714415729
2680,3508.97598119,2.723898002
2690,3509.65718193,2.735596377
2700,3496.86748116,2.745143452
2710,3530.19489641,2.754668713
2720,3509.65718193,2.76459241
2730,3507.16718124,2.774552999
2740,3507.16718124,2.784157819
2750,3508.97598119,2.794060343
2760,3508.92090332,2.804096962
2770,3499.52520243,2.814045361
2780,3522.01254475,2.823807053
2790,3509.65718193,2.833884415
2800,3509.65718193,2.843329154
2810,3495.85999919,2.852881041
2820,3507.16718124,2.862600388
2830,3507.16718124,2.872085548
2840,3511.66853036,2.881687802
2850,3488.09708862,2.893597265
2860,3509.65718193,2.903793323
2870,3508.97598119,2.913135085
2880,3499.22345034,2.92283775
2890,3509.65718193,2.932419793
2900,3496.86748116,2.942133685
2910,3496.86748116,2.952341292
2920,3501.78950844,2.962186392
2930,3511.32455475,2.971659362
2940,3522.12805593,2.981920543
2950,3497.23606886,2.991559688
2960,3507.16718124,3.001138202
2970,3509.65718193,3.010703242
2980,3507.16718124,3.021001315
2990,3513.60730258,3.030518556
3000,3516.15993412,3.039986073
3010,3508.97598119,3.049922602
3020,3498.31144571,3.059828655
3030,3495.85999919,3.069534527
3040,3508.97598119,3.079907027
3050,3495.85999919,3.090263486
3060,3530.99691018,3.099837188
3070,3496.86748116,3.11028283
3080,3509.65718193,3.120565505
3090,3513.25862261,3.130204009
3100,3508.97598119,3.139588437
3110,3510.80487707,3.1500421
3120,3513.66993344,3.159686379
3130,3480.16770361,3.169326808
3140,3515.58141757,3.179852651
3150,3498.31144571,3.190138855
3160,3507.16718124,3.200234181
3170,3509.65718193,3.210210169
3180,3507.16718124,3.221599291
3190,3509.65718193,3.231318317
3200,3501.89042903,3.241013603
3210,3510.30113608,3.251193942
3220,3496.86748116,3.261178271
3230,3498.31144571,3.27071476
3240,3496.86748116,3.28053163
3250,3508.97598119,3.290255467
3260,3510.77035317,3.299609419
3270,3495.85999919,3.30926685
3280,3521.78745556,3.319114197
3290,3493.32565915,3.328525252
3300,3509.65718193,3.338862143
3310,3513.37822351,3.348933089
3320,3488.15660125,3.35917406
3330,3507.16718124,3.36965884
3340,3489.27959332,3.381506067
3350,3498.87713528,3.391423027
3360,3526.39774102,3.401009881
3370,3495.39667897,3.410889629
3380,3483.24287672,3.420649717
3390,3509.65718193,3.430290467
3400,3516.99615932,3.440089051
3410,3508.97598119,3.450142673
3420,3522.51345898,3.460141438
3430,3508.97598119,3.470148544
3440,3509.65718193,3.479940712
3450,3496.86748116,3.489366203
3460,3519.23278673,3.499063093
3470,3507.16718124,3.508989035
3480,3509.65718193,3.518352611
3490,3511.99607643,3.527935937
3500,3509.65718193,3.539654844
3510,3515.11212136,3.549705258
3520,3508.97598119,3.559130108
3530,3507.16718124,3.569056372
3540,3508.97598119,3.579014395
3550,3507.16718124,3.588204097
3560,3498.31144571,3.598254832
3570,3498.76605886,3.607880824
3580,3485.84057171,3.617710526
3590,3513.37822351,3.628070836
3600,3525.73757622,3.638253742
3610,3529.8973222,3.648332708
3620,3511.45286315,3.658169789
3630,3498.31144571,3.667763381
3640,3508.97598119,3.67752411
3650,3504.82564043,3.687066052
3660,3509.65718193,3.696923022
3670,3509.65718193,3.706932373
3680,3493.85233433,3.716913494
3690,3512.09069251,3.726319095
3700,3508.97598119,3.736431745
3710,3499.18460207,3.746247974
3720,3496.86748116,3.755649405
3730,3499.79026071,3.765641754
3740,3526.69307043,3.775336398
3750,3493.85233433,3.784759964
3760,3521.49234045,3.794355481
3770,3507.16718124,3.804255439
3780,3513.37822351,3.813719427
3790,3508.97598119,3.823718834
3800,3508.97598119,3.833591203
3810,3513.66993344,3.842847631
3820,3488.75294488,3.852609323
3830,3507.16718124,3.863607387
3840,3507.63158113,3.873395705
3850,3532.7925914,3.883204555
3860,3507.16718124,3.893138518
3870,3512.83325685,3.902897644
3880,3507.16718124,3.912429963
3890,3507.16718124,3.922280838
3900,3497.58946344,3.932412415
3910,3496.86748116,3.941893726
3920,3488.09708862,3.95188415
3930,3506.71888656,3.961801752
3940,3498.31144571,3.971567615
3950,3508.92090332,3.981143242
3960,3509.65718193,3.991377796
